"assetType","slNo","customer","partName","partNo","revision","manufactureNo","manufactureYear","category","pressTonnage","mechNo","toolingLife","speed","model","cavityNo","incomingDate","location","size","weightKg","materialModel","thickness","materialWidthStep","ppepNo","blankingGap","designer","platingSupplier","productionFlowChart","firstSubmissionDate","designChangeDate","status","productPosition"
"Jig-Fixture","1","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","PASSIVE BRACKET","SB-068C-2","","","","CNC","","","","","","4 Cav.","","","","","","","","","","","","","","","Use","THAI"
"Jig-Fixture","2","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","Bracket","SB-075B-1-1","","","","CNC","","","","","","2 Cav.","","","","","","","","","","","","","","","Use","THAI"
"Jig-Fixture","3","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","RHS ACTIVE BRACKETT","SB-069A-1","","","","CNC","","","","","","2 Cav.","","","","","","","","","","","","","","","Use","THAI"
"Jig-Fixture","4","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","ASSIVE BRKT","SB-092A-2","","QT24.TS053","","CNC","","","","","","2 Cav.","","","","","","","","","","","","","","","Use","THAI"
"Jig-Fixture","5","Tesla","1095273-03-A","0135-0800005","","WQT.24SH03","","CNC","","","","","","2 Cav.","","F1/Store Tool","","50","","","","","","","","","","","Use","THAI"
"Jig-Fixture","6","Tesla","1095273-03-A","0135-0800005","","WQT.24SH04","","CNC","","","","","","2 Cav.","","F1/Store Tool","","50","","","","","","","","","","","Use","THAI"
"Jig-Fixture","7","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","UPPER PLATE","TM-755A-1","","Jig-fixtureTM-755A-1","2020","Spot welding","","","","","jig fixture/TM-755A-1","1 Cav.","","","","","","","","","","","","","","","Use","THAI"
"Jig-Fixture","8","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","Passive Bracket Assembly","SB-042E-2","","WT20.TS.23","2020","Co2 welding","","","","","","2 Cav.","","","","","","","","","","","","","","","Use","THAI"
"Jig-Fixture","9","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","UPR ACTIVE ASSEMBLY","SB-068C-1","","EY-23JR05-01 EY-23JR05-02","2024","Co2 welding","","","","","","1 Cav.","","","","","","","","","","","","","","","Use","THAI"
"Jig-Fixture","10","JOYSON","CG BASE","1121416-AFO","","QT24.JS.018","2024","Spot welding","","","","","","1 Cav.","","","","","","","","","","","","","","","Use","THAI"
"Jig-Fixture","11","JOYSON","CG BASE","1121416-AFO","","QT24.JS.017-1","2024","Reveting","","","","","","1 Cav.","","","","","","","","","","","","","","","Use","THAI"
"Jig-Fixture","12","JOYSON","CG BASE","1121416-AFO","","QT24.JS.017-2","2024","Reveting","","","","","","1 Cav.","","","","","","","","","","","","","","","Use","THAI"
"Jig-Fixture","13","JOYSON","CG BASE","1121416-AFO","","QT24.JS.017-3","2024","Reveting","","","","","","1 Cav.","","","","","","","","","","","","","","","Use","THAI"
"Jig-Fixture","14","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","ACTIVE ASSEMBLY","SB-092B-1","","24.JR.0501 24.JR.0502","2025","Co2 welding","","","","","","1 Cav.","","","","","","","","","","","","","","","Use","THAI"
"Jig-Fixture","15","JOYSON","RETAINER COMP KNEE","1185577","","QT24.JS.073","2025","Spot welding","","","","","","1 Cav.","","F1/Robot spot","","495","Cr12MoV","","","","","","","","","","Use","THAI"
"Jig-Fixture","16","STL","ARC STACK ASSEMBLY-MEDIUM","S1A23976-D","04","JY-48187714AA","","Assembly","","1#","","30","Assemble machine / （1 Cav.）","NO","","","","","48187104AA / 48187097AA / 48187111AA","","","/ / SELV","Unilateral / 0.05mm","LIU PING","","Stamping---Packaging---Finished Product","2010.6.28","","Use","THAI"
"Jig-Fixture","17","STL","ARC STACK ASSEMBLY-HIGH","S1A23969-D","00","JY-8187713AA","","Assembly","","2#","","25","Assemble machine / （1 Cav.）","NO","","","","","48187053AA","","","REG4-AAAGOJ","Unilateral / 0.05mm","LIU PING","","Stamping---Plating---Packaging---Finished Product","2018.10.8","2021.11.18 / change raw material width 39mm to 38mm","Use","THAI"
"Jig-Fixture","18","STL","CUT CHAMBER","51207116-JR","","","","Assembly","","5#,6#,7#,8#","","25","Assemble machine / （1 Cav.）","NO","","","","","","","","","","","","","","","Use","THAI"
"Jig-Fixture","19","STL","GV2 6 Plate","W813890060190-JR","","","","Assembly","","4#","","25","Assemble machine / （1 Cav.）","NO","","","","","","","","","","","","","","","Use","THAI"
"Jig-Fixture","20","STL","GV2 9 Plate","W813890890211-JR","","","","Assembly","","4#","","25","Assemble machine / （1 Cav.）","NO","","","","","","","","","","","","","","","Use","THAI"
"Jig-Fixture","21","STL","OUTPUT PHASE CONNECTOR ASSEMBLY","S1B13956","01","D21.TL.30","2024","Reveting","","","","2","Riveting fixture / （2 Cav.）","NO","","","","","S1B13954&GHM12023","","","REG4-AAAPTL","","Song ZiWen","","Riveting---Packaging","2021-12-20","","Use","THAI"
"Jig-Fixture","22","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","CUP","TM-818-1","","","2024","Spot welding","","2#","","","","","","","","","TM-818-1 / TM-818-1-1","","","","","Dong XiLi","","Welding-riveting-selection-packaging","2022-2-13","","Use","THAI"
"Jig-Fixture","23","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","UPR ACTIVE ASSEMBLY","SB-068C-1","","SB-068-1","2024","Co2 welding","","1#","","","Welding Jia / （1 Cav.）","","","","","","SB-068-1-1 / SB-068B-1-2 / SB-068-1-3","","","","","","","Welding--sorting 100%--packaging--Finished Product","20-02-2024","","Use","THAI"
"Jig-Fixture","24","JOYSON","CG BASE UNIT RR","2567475-AA","","","2024","Spot welding","","","","","","","","","","","","","","","","","","","","","Use","THAI"
