"no","code","nameMachine","brand","model","manufactureNumber","category","picture","status"
"1","1#","Stamping Machine","","OCP-80","","Stamping","","Use"
"2","2#","Stamping Machine","","MHS-80","","Stamping","","Use"
"3","3#","Stamping Machine","","OCP-110","","Stamping","","Use"
"4","4#","Stamping Machine","","SN1-110","","Stamping","","Use"
"5","5#","Stamping Machine","JinFeng","OCP-110E","C05041","Stamping","","Use"
"6","6#","Stamping Machine","","STD-150","","Stamping","","Use"
"7","7#","Stamping Machine","JinFeng","GTX-300","C05172","Stamping","","Use"
"8","8#","Stamping Machine","JinFeng","GTX-500","B85527","Stamping","","Use"
"9","9#","Stamping Machine","","OCP-110","","Stamping","","Use"
"10","10#","Stamping Machine","JinFeng","OCP-260E","C35765","Stamping","","Use"
"11","11#","Stamping Machine","A0MATE","APA-200","POC0BKA402VDM","Stamping","","Use"
"12","12#","Stamping Machine","","APA-200","","Stamping","","Use"
"13","13#","Stamping Machine","GOANWIN","110T","","Stamping","","Use"
"14","","NC Servo Roller Feeder","RETAIN","SAF-300A","","Feeder","","Use"
"15","","Two-in-one material rack leveling machine","RETAIN","WUL-300","","Feeder","","Use"
"16","","NC Servo Roller Feeder","MINGXU","NCF-200H","","Feeder","","Use"
"17","","Two-in-one material rack leveling machine","MINGXU","BML-200","","Feeder","","Use"
"18","","NC Servo Roller Feeder","NAIRUI","NCF-200B","","Feeder","","Use"
"19","","Two-in-one material rack leveling machine","NAIRUI","BML-200","","Feeder","","Use"
"20","","NC Servo Roller Feeder","NAIRUI","NCF-200B","","Feeder","","Use"
"21","","Two-in-one material rack leveling machine","NAIRUI","BML-200","","Feeder","","Use"
"22","","NC Servo Roller Feeder","RETAIN","SAF-300A","","Feeder","","Use"
"23","","Two-in-one material rack leveling machine","RETAIN","WUL-300B","","Feeder","","Use"
"24","","NC Servo Roller Feeder","RETAIN","SAF-300MH","","Feeder","","Use"
"25","","Two-in-one material rack leveling machine","RETAIN","WUL-300B","","Feeder","","Use"
"26","","Three-in-one material rack leveling machine","RETAIN","TLN3-400","","Feeder","","Use"
"27","","Three-in-one material rack leveling machine","RETAIN","TLN4-600","","Feeder","","Use"
"28","","Three-in-one material rack leveling machine","RUIHUI","MAC4-600H","","Feeder","","Use"
"29","SW3","Spot welding machine","panasonic","YR-A05CM2HVO","U3297","Spot welding","machine-images/029-SW3-Spot-welding-machine.png","Use"
"30","SW2","Spot welding machine","panasonic","YR-A05CM2HVO","U3298","Spot welding","machine-images/030-SW2-Spot-welding-machine.png","Use"
"31","SW1","Spot welding machine","KAIYUAN","DTN-200","","Spot welding","machine-images/031-SW1-Spot-welding-machine.png","Use"
"32","","semi-automatic welding machine","HUASHIKEJI","","","Welding","","Use"
"33","RW1","Robot welding machine","panasonic","YA-1VAR61CJ0","N9980C","Robot welding","","Use"
"34","RW2","Robot welding machine","panasonic","YA-2JCR61F00","D2624T0136","Robot welding","","Use"
"35","RW3","Robot welding machine","YASKAWA","MOTOMAN-SP16","1P23Z4710380001","Robot welding","machine-images/035-RW3-Robot-welding-machine.png","Use"
"36","","Tapping machine","GENERAL","GT2-223","1011","Tap Machine","","Use"
"37","","Tapping machine","Hangzhouxihu taizuan","SWJ-4T","0040005","Tap Machine","","Use"
"38","","Tapping machine","Hangzhouxihu taizuan","SWJ-4T","8040064","Tap Machine","","Use"
"39","","Tapping machine","Hangzhouxihu taizuan","SWJ-4T","6010074","Tap Machine","","Use"
"40","","Tapping machine","DGYOUYI","GT1-203","KS2003","Tap Machine","","Use"
"41","","Revet machine","Jinshangyuan Machinery","KSY-150H","K014005","Revet machine","machine-images/041-machine-Revet-machine.png","Use"
"42","","Revet machine","Jinshangyuan Machinery","KSY-151H","K016020","Revet machine","machine-images/042-machine-Revet-machine.png","Use"
