"no","partNumber","toolNumber","dwNumber","nameEn","specifications","material","quantityInStock","picture","minInventory","maxInventory"
"1","MC-103A-2","23-TRE016","113","Die","208.5x147x35","Cr12MoV","1","spare-part-images/001-MC-103A-2-113.png","1","2"
"2","MC-103A-2","23-TRE016","114","Die","215x151x35","Cr12MoV","1","spare-part-images/002-MC-103A-2-114.png","1","2"
"3","MC-103A-2","23-TRE016","114A","Die","75x55x35","Cr12MoV","1","spare-part-images/003-MC-103A-2-114A.png","1","2"
"4","MC-103A-2","23-TRE016","128","Piercing Die","57.5x76x35","Cr12MoV","1","spare-part-images/004-MC-103A-2-128.png","1","2"
"5","MC-103A-2","23-TRE016","132","Piercing Die","115x76x35","Cr12MoV","1","spare-part-images/005-MC-103A-2-132.png","1","2"
"6","MC-103A-2","23-TRE016","137","Piercing Die","82x120x60","Cr12MoV","1","spare-part-images/006-MC-103A-2-137.png","1","2"
"7","MC-103A-2","23-TRE016","210","Piercing Punch","100x160x73","Cr12MoV","1","spare-part-images/007-MC-103A-2-210.png","1","2"
"8","MC-103A-2","23-TRE016","211","Piercing Punch","95x160x73","Cr12MoV","1","spare-part-images/008-MC-103A-2-211.png","1","2"
"9","MC-103A-2","23-TRE016","218","Bending Punch","41.47x41.47x24.5","Cr12MoV","1","spare-part-images/009-MC-103A-2-218.png","1","2"
"10","MC-103A-2","23-TRE016","226","Piercing Punch","60x55x70","Cr12MoV","1","spare-part-images/010-MC-103A-2-226.png","1","2"
"11","MC-103A-2","23-TRE016","234","Parting Punch","47x75x70","Cr12MoV","1","spare-part-images/011-MC-103A-2-234.png","1","2"
"12","MC-103A-2","23-TRE016","235","Pilot","40x40x23.5","Cr12MoV","1","spare-part-images/012-MC-103A-2-235.png","1","2"
"13","MC-103A-2","23-TRE016","238","Stipper","300x225x35","45#","1","spare-part-images/013-MC-103A-2-238.png","1","2"
"14","MC-103A-2","23-TRE016","245","Bending Punch","52x48x113","Cr12MoV","1","spare-part-images/014-MC-103A-2-245.png","1","2"
"15","TM-818A-1","21-TER008","116","1st Drawing die","Ø144x45","Cr12MoV","1","spare-part-images/015-TM-818A-1-116.png","1","2"
"16","TM-818A-1","21-TER008","125","Forming die","Ø118x45","SKD11","1","spare-part-images/016-TM-818A-1-125.png","1","2"
"17","TM-818A-1","21-TER008","137","Mold die","Ø115x45","Cr12MoV","1","spare-part-images/017-TM-818A-1-137.png","1","2"
"18","TM-818A-1","21-TER008","145","Molding-2 die holder","Ø110x27","Cr12MoV","1","spare-part-images/018-TM-818A-1-145.png","1","2"
"19","TM-818A-1","21-TER008","148","Pierce die","45x110x110","Cr12MoV","1","spare-part-images/019-TM-818A-1-148.png","1","2"
"20","TM-818A-1","21-TER008","164","Pierce die holder","Ø110x27","Cr12MoV","1","spare-part-images/020-TM-818A-1-164.png","1","2"
"21","TM-818A-1","21-TER008","208","Pierce Punch","73.20x140x122","Cr12MoV","1","spare-part-images/021-TM-818A-1-208.png","1","2"
"22","TM-818A-1","21-TER008","212","1st Drawing Punch","Ø70x95.80","Cr12MoV","1","spare-part-images/022-TM-818A-1-212.png","1","2"
"23","TM-818A-1","21-TER008","220","Idle Punch","Ø69.40x95.80","Cr12MoV","1","spare-part-images/023-TM-818A-1-220.png","1","2"
"24","TM-818A-1","21-TER008","223","2nd Drawing Punch","Ø59.60x94.80","Cr12MoV","1","spare-part-images/024-TM-818A-1-223.png","1","2"
"25","TM-818A-1","21-TER008","226","Forming Punch","Ø59.60x93.80","SKD11","1","spare-part-images/025-TM-818A-1-226.png","1","2"
"26","TM-818A-1","21-TER008","231","Mold Punch","Ø59.50x94","Cr12MoV","1","spare-part-images/026-TM-818A-1-231.png","1","2"
"27","TM-818A-1","21-TER008","235","Pierce Holding","Ø59.60x93.80","Cr12MoV","1","spare-part-images/027-TM-818A-1-235.png","1","2"
"28","TM-818A-1","21-TER008","241","Molding-2 Punch","Ø59.60x93.80","Cr12MoV","1","spare-part-images/028-TM-818A-1-241.png","1","2"
"29","TM-818A-1","21-TER008","244","Part Punch","78x100x105","Cr12MoV","1","spare-part-images/029-TM-818A-1-244.png","1","2"
"30","TM-818A-1","21-TER008","245","Part guide block","Ø59.50x25","Cr12MoV","1","spare-part-images/030-TM-818A-1-245.png","1","2"
"31","TM-818A-1","21-TER008","248","Pierce Punch","80x95x95","Cr12MoV","1","spare-part-images/031-TM-818A-1-248.png","1","2"
"32","SB-068B-1-3","23-TER013","108","Pierce die","35x60x70","Cr12MoV","1","spare-part-images/032-SB-068B-1-3-108.png","1","2"
"33","SB-068B-1-3","23-TER013","128","Pierce die","35x70x70","Cr12MoV","F/L 1","spare-part-images/033-SB-068B-1-3-128.png","1","2"
"34","SB-068B-1-3","23-TER013","148","Parting die","37x55x96","Cr12MoV","1","spare-part-images/034-SB-068B-1-3-148.png","1","2"
"35","SB-068B-1-3","23-TER013","204","Pierce Punch","77x26x98.50","Cr12MoV","F/L 1","spare-part-images/035-SB-068B-1-3-204.png","1","2"
"36","SB-068B-1-3","23-TER013","206","Pierce Punch","75x23x25","Cr12MoV","1","spare-part-images/036-SB-068B-1-3-206.png","1","2"
"37","SB-068B-1-3","23-TER013","208","Pilot","30.30x15x16.90","Cr12MoV","5","spare-part-images/037-SB-068B-1-3-208.png","1","2"
"38","SB-068B-1-3","23-TER013","222","Pierce Punch","83x27x40","Cr12MoV","F/L 1","spare-part-images/038-SB-068B-1-3-222.png","1","2"
"39","SB-068B-1-3","23-TER013","234","Parting Punch","110x21x51","Cr12MoV","1","spare-part-images/039-SB-068B-1-3-234.png","1","2"
"40","SB-068B-1-3","23-TER013","235","Parting Punch","30x40x55","Cr12MoV","1","spare-part-images/040-SB-068B-1-3-235.png","1","2"
"41","SB-068B-1","23-TER012","121","Pierce die","50x115x20","Cr12MoV","1","spare-part-images/041-SB-068B-1-121.png","1","2"
"42","SB-068B-1","23-TER012","139","Hell Block","77.50x20x150","Cr12MoV","1","spare-part-images/042-SB-068B-1-139.png","1","2"
"43","SB-068B-1","23-TER012","140","End Block","Ø25x97.50","45#","4","spare-part-images/043-SB-068B-1-140.png","1","2"
"44","SB-068B-1","23-TER012","138","Hell Block","107.50x85x150","45#","2","spare-part-images/044-SB-068B-1-138.png","2","2"
"45","SB-068B-1","23-TER012","116","Bending 1 die","85x168x230","Cr12MoV","1","spare-part-images/045-SB-068B-1-116.png","2","2"
"46","SB-068B-1","23-TER012","113","Die","70x60x114","45#","1","spare-part-images/046-SB-068B-1-113.png","1","2"
"47","SB-068B-1","23-TER012","118","Die","70x60x114","45#","1","spare-part-images/047-SB-068B-1-118.png","1","2"
"48","SB-068B-1","23-TER012","230","Bending Punch","130x91x168","Cr12MoV","1","spare-part-images/048-SB-068B-1-230.png","2","2"
"49","SB-068B-1","23-TER012","231","Bending Punch","130x91x168","Cr12MoV","1","spare-part-images/049-SB-068B-1-231.png","1","2"
"50","SB-068B-1","23-TER012","228","Pierce Punch","94x102x171","Cr12MoV","1","spare-part-images/050-SB-068B-1-228.png","1","2"
"51","SB-068B-1","23-TER012","229","Pierce Punch","94x102x171","Cr12MoV","1","spare-part-images/051-SB-068B-1-229.png","1","2"
"52","SB-068B-1","23-TER012","206","Pilot","Ø15x63.60","Cr12MoV","1","spare-part-images/052-SB-068B-1-206.png","1","2"
"53","SB-068B-1","23-TER012","209","Pilot","Ø15x46.20","Cr12MoV","1","spare-part-images/053-SB-068B-1-209.png","2","2"
"54","SB-068B-1","23-TER012","208","Punch Holder","30x50x60","45#","1","spare-part-images/054-SB-068B-1-208.png","2","2"
"55","SB-068B-1","23-TER012","220","Pierce Punch","80x61.40x63.40","Cr12MoV","1","spare-part-images/055-SB-068B-1-220.png","1","2"
"56","1160088","Q25.JS.071","20","Punching punch","14.60x60.48x72.00","Cr12MoV","1","spare-part-images/056-1160088-20.png","1","2"
"57","1160088","Q25.JS.071","21","Punching punch","29.01x62.05x70.00","Cr12MoV","1","spare-part-images/057-1160088-21.png","1","2"
"58","1160088","Q25.JS.071","22","Punching punch","15.60x61.50x72.00","Cr12MoV","1","spare-part-images/058-1160088-22.png","1","2"
"59","1160088","Q25.JS.071","23","Punching punch","16.60x61.50x70.00","Cr12MoV","1","spare-part-images/059-1160088-23.png","1","2"
