"assetType","slNo","customer","partName","partNo","revision","manufactureNo","manufactureYear","category","pressTonnage","mechNo","toolingLife","speed","model","cavityNo","incomingDate","location","size","weightKg","materialModel","thickness","materialWidthStep","ppepNo","blankingGap","designer","platingSupplier","productionFlowChart","firstSubmissionDate","designChangeDate","status","productPosition"
"Tooling","1","STL","Fixed Contact","51207084 / S1B38101B-BOI","18/00","L10.TD.61","2024","Progressive Tooling","80T","1#","15M","100","Progressive Tooling / （2 Cav.）","T1*T2","","","","","SPCC-SD","1","54*13","/ / SELV","Unilateral / 0.05mm","Yang","","Stamping---Plating---Packaging---Finished Product","2010.6.28","","Use","THAI"
"Tooling","2","STL","Bimetal Support Greco","51207070AB","13","L18.TL.147","2024","Progressive Tooling","110T","4#","15M","110","Progressive Tooling / （2 Cav.）","J1*J2","","","","","SPCC-SD","0.8","39*64","REG4-AAAGOJ","Unilateral / 0.05mm","Yang","","Stamping---Plating---Packaging---Finished Product","2018.10.8","2021.11.18 / change raw material width 39mm to 38mm","Scrap","THAI"
"Tooling","3","STL","MECH SIDE L/R","48187088&7089","04/05","L17.TL.222","2024","Progressive Tooling","150T","6#","15M","60","Progressive Tooling / （2 Cav.）","L/R","","","","","SPCC-4D","1.2","92*46","REG4-AAAFCI / REG4-AAAFCJ","Unilateral / 0.06mm","Yang","","Stamping---Tapping（M3.5)---Plating---Packaging---Finished Product","2017.12.21","","Use","THAI"
"Tooling","4","STL","PRIMARY LATCH","48187061AA / /S1B14877","04/00","L18.TL.145","2024","Progressive Tooling","110T","3#","15M","60","Progressive Tooling / （2 Cav.）","","","","","","SPFC-590","1","37*20","REG4-AAAKRO / REG4-AAAKRP","Unilateral / 0.05mm","Yang","","Stamping（in-tool tapping)---Plating---Packaging---Finished Product","2019.12,05","","Use","THAI"
"Tooling","5","STL","MIDDLE TERMINAL","48187096","01","D25.TL.177","2024","Progressive Tooling","80T","1#","10M","100","Progressive Tooling / （2 Cav.）","","","","","460","SPCC-4","1.5","48*10","REG4-AAAJGH","Unilateral / 0.07mm","GST","","Stamping---TAP----Plating---Packaging---Finished Product","2019.10.4","","Use","THAI"
"Tooling","6","STL","LOAD TERM-HI-LOW","48187055/255#3","04/04","COS Trophy / GST","2024","Progressive Tooling","80T","1#","10M","80","Progressive Tooling / （2 Cav.）","","","F1/A2-2","","","C1100","2","60*19","REG4-AAAHCM / REG4-AAAHCN","Unilateral / 0.08mm","GST","","Stamping---TAP----Plating---Packaging---Finished Product","2019.09。25","","Use","THAI"
"Tooling","7","STL","Magnet. Loop","48187070AA","02","COS Trophy / GST","2024","Progressive Tooling","80T","1#","10M","100","Progressive Tooling / （2 Cav.）","NO","","","","","SPCC-4D","1.5","72*11","REG4-AAAJGJ","Unilateral / 0.07mm","GST","","Stamping---Plating---Packaging---Finished Product","2019.10.4","","Use","THAI"
"Tooling","8","STL","PADLOCKING","48187864AA","02","COS Trophy / GST","2024","Progressive Tooling","80T","1#","10M","65","Progressive Tooling / （1 Cav.）","NO","","","","","SUS304-2B","2","34*29","REG4-AAAJGK","Unilateral / 0.07mm","GST","","Stamping---Plating---Packaging---Finished Product","2019.10.4","","Use","THAI"
"Tooling","9","STL","YOKE","48187064AA","03","COS Trophy / GST","2024","Progressive Tooling","110T","3#","10M","60","Progressive Tooling / （4 Cav.）","NO","","F1/A1-11","","","SPCC-4D","2","86*28.5","REG4-AAAHCL","Unilateral / 0.1mm","GST","","Stamping---Plating---Packaging---Finished Product","2019.09.25","","Use","THAI"
"Tooling","10","STL","UPPER LINK","48187060#4","03","L19TL251","2024","Progressive Tooling","110T","5#","10M","60","Progressive Tooling / （2 Cav.）","J1*J2","","F1/A3-12","","450","SPFC-590","1","92*31","REG4-AAAKWV","Unilateral / 0.05mm","LI JIAN","","Stamping---Plating---Packaging---Finished Product","2020.07","","Use","THAI"
"Tooling","11","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","UPPER PLATE","TM-755A-1","C","L20.TS.48-1","2024","Progressive Tooling","300T","7#","5M","40","Progressive Tooling / （1 Cav.）","NO","","F1/Store Tool","","","SPH270C-OD","2.9","64*110","","Unilateral / 0.29mm","LIU","","Stamping+Riveting---Welding---Packaging---Finished Product","2020.02","","Use","THAI"
"Tooling","12","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","UPPER PLATE","TM-755A-1","C","L20.TS.48-2","2024","Single Tooling","110T","7#","5M","60","Single Tooling","NO","","F1/Store Tool","","","SPH270C-OD","2.9","","","NO","LIU","","Stamping---Riveting---Welding---Packaging---Finished Product","2020.02","","Use","THAI"
"Tooling","13","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","OUTER","SN-185B-1","B","L19TER001","2024","Progressive Tooling","500T","8#","5M","25","Progressive Tooling / （1 Cav.）","NO","","","","","SPCD","1.6","129*129","","Unilateral / 0.1mm","LIU","","Stamping---Packaging---Finished Product","2019.04.09","","Use","THAI"
"Tooling","14","STL","LOOP LINE-TERM HEIGHT/LOW","48187251AA/48187051AA","05/07","L18.TL.146","2024","Progressive Tooling","160T","","","70","Progressive Tooling / （1 Cav.）","J","","","","","T2Y2","2","105*20.5","REG4-AAACCX","Unilateral / 0.08mm","Hu Yongjian","","Stamping---TAP----Plating---Packaging---Finished Product","2018.10.31","","Use","CHINA"
"Tooling","15","STL","MAG TRIP FRAME 03/04","48187065AA","03/04","L18.TL.186","2024","Progressive Tooling","110T","","","45","Progressive Tooling / （2 Cav.）","U1/U2","","","","","H68Y","1","88*21.5","Pending","Unilateral / 0.06mm","Shen Xiaozhi","","Stamping---Degreasing---Packaging---Finished Product","2019.1.25","2021-9-4 / Part REV. from ""3""to""4""","Use","CHINA"
